Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
4.822524,5.03636,5.154443,5.1294327,4.90083,5.2081733,5.1783404,5.1702795,4.8464956,4.9280252
5.1399846,5.372984,5.493532,5.47914,5.2402315,5.535788,5.5261817,5.521872,5.17227,5.247127
-1.0921235,-1.1980691,-0.9770759,-1.0919335,-1.2282194,-1.2678357,-1.0509646,-1.3656052,-0.8918509,-1.3769562
6.1924186,6.4836426,6.6178484,6.6373124,6.364275,6.623649,6.6781774,6.6828523,6.2501497,6.3039412
4.1285357,4.300816,4.4102345,4.3577046,4.156252,4.490195,4.4020853,4.378501,4.1217966,4.2307158
2.8154013,2.9259164,3.014091,2.9042635,2.72196,3.1427712,2.9135323,2.8977187,2.7260633,2.8639662
8.666305,9.086918,9.257925,9.350728,8.996016,9.175937,9.376003,9.381568,8.757051,8.778865
2.7072628,2.81404,2.8997276,2.7727864,2.5916126,3.031917,2.7918959,2.776154,2.6111844,2.7489777
3.7207003,3.8710444,3.9739678,3.903923,3.717727,4.069872,3.9379504,3.915728,3.6879866,3.821871
5.1253366,5.357525,5.477886,5.4630027,5.224571,5.5206714,5.510132,5.5056486,5.1571903,5.2324038
0.86355126,0.91589284,0.94609517,0.45856643,0.12849768,0.926764,0.6139015,0.50536746,0.7162235,0.8262795
4.2331223,4.4116607,4.5227537,4.4747424,4.2693543,4.5986023,4.5217934,4.497857,4.231766,4.335739
4.4822483,4.675785,4.7908697,4.7522106,4.5370364,4.8569202,4.802976,4.782263,4.4952497,4.585991
1.548447,1.5927285,1.6200912,1.3216022,1.1499181,1.7853378,1.4610214,1.4324778,1.3836007,1.5704956
2.6871545,2.7932365,2.8785079,2.748338,2.5665195,3.0105445,2.7692773,2.753549,2.589988,2.727595
-1.9958155,-2.167991,-1.7811984,-1.809671,-1.9171474,-2.2046864,-1.6972407,-2.1421213,-1.536506,-2.3790276
3.1987858,3.3240156,3.4190671,3.3254101,3.1504645,3.5340154,3.346948,3.3284757,3.1327837,3.2718093
1.8476764,1.9225444,1.9558923,1.6658821,1.4895043,2.1254578,1.8122689,1.7962503,1.7102025,1.8785965
5.062026,5.290712,5.410262,5.3932624,5.156884,5.455335,5.4407625,5.43553,5.0921106,5.1687655
5.910825,6.187029,6.3170414,6.3282776,6.0643473,6.332844,6.3707914,6.3753633,5.964517,6.0219517
5.5600986,5.8163404,5.942226,5.9419265,5.6893816,5.9695554,5.9865003,5.9871545,5.604762,5.669413
2.1067686,2.1864817,2.2469265,1.9832826,1.8032888,2.3892791,2.1164544,2.1054797,1.9894153,2.126887
2.8551702,2.9670594,3.0560818,2.948457,2.7689526,3.183327,2.9582646,2.9429536,2.7682345,2.906254
