Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
3.9784646,2.0097272,2.3872507,3.6060216,2.9612079,2.1553895,2.121741,2.4015663,3.1230128,1.6371593
3.9769871,2.0090232,2.3864026,3.6047406,2.96025,2.1547382,2.1210482,2.4007652,3.1220999,1.6368029
3.9755087,2.0083187,2.385554,3.6034596,2.9592915,2.1540873,2.1203556,2.3999631,3.1211865,1.636447
3.9740307,2.0076146,2.384706,3.6021783,2.958333,2.1534364,2.119663,2.399162,3.1202724,1.6360905
3.972553,2.0069103,2.3838577,3.6008976,2.9573748,2.1527853,2.11897,2.3983607,3.119359,1.6357341
3.9710753,2.006205,2.3830097,3.5996158,2.9564161,2.1521347,2.1182773,2.397559,3.1184452,1.6353779
3.9695973,2.0055013,2.3821614,3.5983346,2.9554577,2.1514838,2.1175847,2.3967576,3.1175315,1.6350214
3.9681194,2.0047967,2.3813133,3.5970535,2.9544997,2.1508327,2.1168916,2.395956,3.1166182,1.6346653
3.9666402,2.0040922,2.3804653,3.5957723,2.9535413,2.1501815,2.116199,2.3951547,3.1157045,1.634309
3.9651635,2.003388,2.379617,3.5944917,2.9525826,2.149531,2.1155064,2.3943534,3.1147914,1.6339524
3.9636858,2.0026836,2.3787684,3.5932102,2.9516244,2.1488802,2.1148136,2.3935518,3.1138773,1.6335964
3.9622078,2.0019794,2.3779202,3.591929,2.950666,2.1482291,2.1141212,2.3927503,3.1129642,1.63324
3.9607298,2.0012753,2.377072,3.5906484,2.949708,2.1475782,2.113428,2.3919492,3.1120498,1.6328838
3.9592514,2.0005708,2.376224,3.5893667,2.9487495,2.1469274,2.1127353,2.3911474,3.1111367,1.6325274
3.9577734,1.9998664,2.375376,3.5880857,2.9477916,2.1462765,2.1120427,2.3903463,3.110223,1.6321714
3.956295,1.9991618,2.3745272,3.5868042,2.9468327,2.1456256,2.11135,2.3895452,3.1093097,1.6318147
3.954817,1.9984578,2.3736794,3.5855227,2.9458742,2.1449747,2.110657,2.3887432,3.108396,1.6314585
3.9533403,1.9977529,2.372831,3.5842419,2.9449162,2.1443238,2.1099646,2.3879416,3.1074824,1.6311021
3.9518616,1.9970484,2.371983,3.5829604,2.9439573,2.1436727,2.1092713,2.3871403,3.106568,1.6307459
3.9503832,1.9963441,2.3711348,3.5816798,2.9429991,2.1430216,2.1085784,2.386339,3.105655,1.6303895
3.9489057,1.99564,2.3702862,3.5803983,2.942041,2.142371,2.107886,2.3855376,3.1047416,1.6300333
3.9474277,1.9949358,2.3694386,3.5791175,2.9410825,2.14172,2.1071932,2.3847358,3.1038277,1.629677
3.9459505,1.9942316,2.36859,3.577836,2.9401248,2.1410692,2.1065009,2.3839347,3.1029143,1.6293206
3.9444716,1.9935269,2.367742,3.576555,2.939166,2.1404183,2.1058078,2.3831336,3.1020007,1.6289644
3.9429936,1.9928228,2.3668935,3.5752738,2.9382076,2.1397672,2.105115,2.3823316,3.101087,1.628608
3.9415154,1.9921182,2.3660455,3.573993,2.9372492,2.1391163,2.1044226,2.38153,3.1001732,1.6282516
3.9400373,1.9914136,2.3651972,3.572712,2.936291,2.1384656,2.1037295,2.380729,3.0992599,1.6278956
3.9385598,1.9907094,2.364349,3.5714304,2.9353325,2.1378145,2.103037,2.3799276,3.0983462,1.6275392
3.937082,1.990005,2.363501,3.5701492,2.9343743,2.1371636,2.1023443,2.379126,3.0974326,1.627183
3.9356039,1.9893004,2.3626525,3.5688682,2.933416,2.1365128,2.101651,2.3783247,3.096519,1.6268265
3.9341257,1.9885961,2.3618045,3.5675867,2.9324574,2.1358619,2.1009586,2.3775232,3.0956054,1.6264703
3.932648,1.9878919,2.3609562,3.5663054,2.931499,2.1352108,2.1002655,2.3767216,3.0946922,1.6261139
3.9311686,1.9871871,2.360108,3.5650246,2.9305408,2.1345599,2.099573,2.3759203,3.0937781,1.6257577
3.9296916,1.986483,2.3592598,3.5637436,2.9295826,2.133909,2.0988805,2.375119,3.0928643,1.6254015
3.928214,1.9857789,2.3584123,3.562462,2.9286242,2.1332583,2.0981872,2.3743176,3.091951,1.6250451
3.926736,1.9850743,2.3575635,3.561181,2.9276657,2.1326072,2.0974946,2.3735163,3.0910378,1.6246889
3.9252582,1.9843702,2.356715,3.5598996,2.9267077,2.1319563,2.096802,2.3727145,3.0901237,1.6243324
3.92378,1.9836656,2.355867,3.5586185,2.925749,2.1313055,2.096109,2.3719132,3.08921,1.6239762
3.922301,1.9829618,2.3550189,3.5573375,2.9247909,2.1306546,2.0954163,2.3711116,3.088297,1.6236198
3.9208236,1.982257,2.3541706,3.556056,2.9238324,2.1300037,2.0947237,2.3703105,3.087383,1.6232636
3.919346,1.9815525,2.3533227,3.554775,2.9228745,2.1293528,2.094031,2.369509,3.0864692,1.6229072
3.9178677,1.9808486,2.352474,3.5534942,2.921916,2.128702,2.0933383,2.3687074,3.085556,1.622551
3.9163902,1.9801443,2.351626,3.5522125,2.9209576,2.128051,2.0926452,2.3679059,3.0846424,1.6221948
3.9149115,1.9794396,2.3507776,3.5509317,2.9199991,2.1274002,2.091952,2.367105,3.0837288,1.6218386
3.9134338,1.9787352,2.3499298,3.5496507,2.9190412,2.1267488,2.0912578,2.3663032,3.0828152,1.6214824
3.911955,1.9780303,2.3490813,3.5483696,2.9180825,2.1260984,2.0905635,2.3655016,3.081901,1.6211257
3.9104784,1.9773263,2.3482332,3.5470884,2.9171243,2.1254475,2.0898697,2.3647006,3.080988,1.6207697
3.9090006,1.9766221,2.3473847,3.545807,2.9161656,2.1247966,2.0891757,2.3638988,3.0800743,1.6204133
3.9075215,1.9759179,2.346537,3.544526,2.9152079,2.1241455,2.0884817,2.3630974,3.0791607,1.6200569
3.9060438,1.9752135,2.3456886,3.5432446,2.914249,2.1234946,2.0877876,2.3622959,3.078247,1.6197007
3.9045663,1.9745085,2.3448403,3.5419633,2.913291,2.1228437,2.0870936,2.3614943,3.0773337,1.619344
3.9030883,1.9738047,2.3439925,3.5406828,2.9123323,2.1221929,2.0863998,2.3606932,3.0764196,1.618988
