Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
3.4939198,3.4266238,3.4484625,3.4480743,3.4255939,3.419207,3.461485,3.4369316,3.4217,3.4165218
3.5624495,3.5445971,3.522809,3.530579,3.4999027,3.501013,3.5495763,3.5210657,3.51162,3.498726
0.66296315,0.63284475,0.6697458,0.6100131,0.6512352,0.62073576,0.6698905,0.74133813,0.5967165,0.68154263
3.746777,3.7267234,3.7190955,3.7305682,3.7234702,3.7204986,3.7450604,3.7278376,3.748087,3.7017915
3.2447314,3.0928378,3.217623,3.246263,3.187363,3.2295437,3.189993,3.2399485,3.1771145,3.2186718
2.1744764,2.3939362,2.247067,2.1693506,2.359456,2.2822537,2.2312682,2.188305,2.3363993,2.2273579
4.163795,4.151149,4.1564307,4.1406784,4.1571302,4.076167,4.166182,4.087131,4.1595244,4.110896
2.0918367,2.3314664,2.1624422,2.0813317,2.293983,2.1820803,2.1288748,2.0892742,2.2522783,2.1186693
2.9158082,2.8891163,2.930974,2.9643464,2.932022,2.954513,2.9648046,3.0326624,2.9056349,3.0031343
3.559322,3.5413992,3.5199454,3.5273376,3.4967875,3.4972382,3.546125,3.517187,3.507588,3.495497
1.0763283,1.0078548,0.92920744,1.0611598,1.0212779,1.0082445,1.0864295,1.0449144,1.0640001,1.0655589
3.3227863,3.144352,3.2766852,3.2767973,3.2498002,3.2656577,3.233961,3.2718363,3.2439408,3.252625
3.405065,3.2671018,3.3635297,3.349165,3.3348095,3.3315225,3.3378868,3.3435166,3.3232398,3.3239865
1.3678178,1.2507974,1.349503,1.3731246,1.2487593,1.3497918,1.2726159,1.2388872,1.3044516,1.3220267
2.076824,2.31985,2.146706,2.0649645,2.2717545,2.1633058,2.1098347,2.07181,2.2357273,2.0994995
0.07429123,0.18702257,0.14608598,0.24045491,0.23773944,0.15487313,0.06363392,0.14734614,0.11760414,0.19861948
2.4840508,2.6044126,2.547724,2.492787,2.5960536,2.5829706,2.567813,2.5696955,2.5755043,2.5917258
1.5069361,1.3922002,1.5365345,1.5320125,1.4048254,1.5257745,1.4214716,1.3959705,1.4530598,1.4578233
3.5456524,3.5228317,3.507567,3.5133271,3.4831538,3.480924,3.5312076,3.500423,3.490158,3.4809046
3.6996539,3.6784327,3.6688678,3.6834216,3.6638155,3.6656144,3.6970625,3.6868684,3.7001562,3.6514523
3.6413717,3.6180706,3.604948,3.6196556,3.5892365,3.596636,3.6370554,3.6251101,3.6213942,3.584844
1.6448963,1.660603,1.7130443,1.6804092,1.632205,1.6956915,1.5926168,1.5600528,1.6533103,1.6240059
2.2064898,2.4169097,2.2781882,2.20172,2.3826463,2.316831,2.268924,2.2268395,2.3616905,2.2683802
0.69479585,0.67308396,0.7068505,0.6418544,0.6726208,0.65706336,0.71589667,0.77756774,0.62977755,0.7094561
3.0722783,2.9855018,3.0628333,3.1423378,3.0518332,3.0865695,3.0841572,3.1697397,3.0312223,3.1479268
3.8510098,3.8328083,3.829281,3.833148,3.8453507,3.8390832,3.8503547,3.8177567,3.8514576,3.8108635
3.4628572,3.3647327,3.4135551,3.4073458,3.3883004,3.3831005,3.4106379,3.3994427,3.3811564,3.3784177
1.1790488,1.0676826,1.077226,1.154685,1.0797234,1.1006799,1.1272457,1.0774286,1.1233127,1.1525698
0.768075,0.7802804,0.7949215,0.72939086,0.7341956,0.77430946,0.8490564,0.87653244,0.72709286,0.78008926
3.856286,3.8381777,3.8348577,3.8383353,3.850621,3.8450854,3.8556843,3.8223085,3.856678,3.816332
0.7517736,0.7504455,0.7757696,0.70639455,0.71786845,0.7436777,0.8132431,0.8489604,0.6930529,0.76344204
1.5041282,1.3896056,1.533009,1.5290458,1.4012077,1.5224138,1.4181713,1.393041,1.4502356,1.4545009
1.4481905,1.3339732,1.4574172,1.4654341,1.3352553,1.4508709,1.3561672,1.33023,1.3894198,1.3925061
3.3738842,3.2186842,3.3376508,3.3206203,3.3085654,3.3062167,3.2973926,3.315362,3.2948246,3.2972813
1.6494685,1.6702982,1.7176809,1.6843053,1.6393592,1.7002219,1.5975662,1.565311,1.6595073,1.628369
3.6784387,3.6565547,3.6461082,3.6614456,3.6367846,3.6406133,3.675313,3.667612,3.6734061,3.628642
0.3656869,0.34219944,0.39927316,0.38238704,0.46994507,0.37907302,0.3318566,0.45426905,0.33156884,0.44301128
3.4304757,3.3080106,3.3843613,3.373283,3.3569832,3.3529034,3.3681126,3.3670292,3.347248,3.3465505
1.6902529,1.7570267,1.7585907,1.7168626,1.7024813,1.742266,1.642884,1.6166806,1.7261306,1.6662973
3.9777842,3.9618344,3.9620821,3.957793,3.971982,3.9391954,3.9784203,3.9270887,3.9764442,3.9422753
1.2704341,1.1494942,1.2158494,1.2599517,1.1575848,1.2270046,1.1734402,1.1430247,1.2027154,1.2360198
2.5698583,2.660995,2.6318035,2.5829134,2.6628618,2.6533618,2.6511514,2.6708155,2.6390615,2.6770792
2.96106,2.9189558,2.9688091,3.0162377,2.9666278,2.9927645,2.9997187,3.0797312,2.9419088,3.0474439
2.3897688,2.54128,2.4563594,2.3922265,2.5217776,2.5003412,2.474826,2.4535902,2.504672,2.4933097
0.96741027,0.9537067,0.89435565,0.9854884,0.9628734,0.93297035,1.0361166,1.0156959,1.0019419,0.981306
4.2372065,4.2258644,4.2331333,4.2128572,4.230136,4.1301994,4.2402143,4.150072,4.23178,4.163067
3.4987323,3.43605,3.4540133,3.454551,3.4312308,3.4249482,3.4695702,3.4428926,3.4281464,3.4225805
2.0580745,2.3053427,2.1270533,2.044524,2.2439935,2.1398592,2.0860558,2.049999,2.2150574,2.0755582
3.016409,2.952435,3.0151637,3.0788803,3.0089555,3.0395508,3.041757,3.1373029,2.986277,3.1016402
