Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
-3.2528958,-6.481959,-5.259958,-2.7827525,-3.923136,-4.398984,-2.705968,-3.4884348,-2.6743336,-1.6605356
-3.2519615,-6.476765,-5.257236,-2.7823312,-3.92018,-4.3970966,-2.7041862,-3.4876537,-2.6739407,-1.6621377
-3.2510264,-6.4715695,-5.2545133,-2.7819097,-3.9172237,-4.3952103,-2.7024038,-3.4868722,-2.6735482,-1.6637394
-3.250092,-6.466375,-5.2517905,-2.7814884,-3.9142673,-4.393323,-2.7006211,-3.4860911,-2.6731558,-1.665343
-3.249157,-6.461181,-5.2490687,-2.781067,-3.9113119,-4.3914375,-2.6988387,-3.4853096,-2.6727629,-1.6669447
-3.2482224,-6.4559855,-5.2463465,-2.7806456,-3.9083555,-4.38955,-2.6970556,-3.4845283,-2.6723695,-1.6685474
-3.2472868,-6.45079,-5.2436237,-2.7802246,-3.9053986,-4.387664,-2.6952744,-3.4837468,-2.671977,-1.6701496
-3.2463527,-6.445597,-5.240902,-2.779803,-3.9024436,-4.3857765,-2.6934917,-3.4829657,-2.6715846,-1.6717513
-3.2454178,-6.4404016,-5.2381787,-2.7793818,-3.8994877,-4.3839016,-2.691709,-3.4821844,-2.6711917,-1.6733534
-3.2444832,-6.435209,-5.235457,-2.7789602,-3.8965318,-4.3820486,-2.6899273,-3.4814029,-2.6707993,-1.6749551
-3.2435477,-6.430013,-5.2327356,-2.778539,-3.8935754,-4.3801937,-2.688145,-3.4806216,-2.6704063,-1.6765578
-3.2426133,-6.4248185,-5.230013,-2.778118,-3.89062,-4.37834,-2.6863618,-3.4798403,-2.6700134,-1.67816
-3.2416782,-6.419624,-5.227291,-2.7776961,-3.8876631,-4.376485,-2.6845791,-3.479059,-2.669621,-1.6797626
-3.240743,-6.414428,-5.224569,-2.7772748,-3.8847077,-4.374632,-2.6827974,-3.4782777,-2.6692276,-1.6813648
-3.2398086,-6.4092355,-5.221846,-2.7768536,-3.8817513,-4.372776,-2.6810155,-3.4774964,-2.6688356,-1.6829665
-3.2388732,-6.40404,-5.2191234,-2.7764323,-3.878795,-4.370923,-2.6792324,-3.476715,-2.6684422,-1.6845682
-3.2379384,-6.398845,-5.216401,-2.7760108,-3.875839,-4.369068,-2.6774502,-3.4759336,-2.6680498,-1.6861708
-3.237004,-6.3936524,-5.213679,-2.7755895,-3.872883,-4.367214,-2.675668,-3.4751525,-2.667657,-1.687773
-3.2360687,-6.388456,-5.210957,-2.775168,-3.8699267,-4.3653593,-2.6738853,-3.474371,-2.667264,-1.6893752
-3.2351336,-6.383261,-5.208234,-2.774747,-3.8669713,-4.3635044,-2.6721025,-3.47359,-2.6668715,-1.6909783
-3.234199,-6.3780684,-5.2055125,-2.7743254,-3.8640153,-4.3616505,-2.6703212,-3.4728086,-2.6664786,-1.692579
-3.2332642,-6.372873,-5.20279,-2.7739043,-3.8610585,-4.3597965,-2.668538,-3.4720273,-2.6660862,-1.6941817
-3.2323294,-6.367678,-5.200068,-2.7734828,-3.858103,-4.3579426,-2.6667562,-3.4712458,-2.6656933,-1.6957843
-3.2313943,-6.3624816,-5.1973457,-2.7730613,-3.8551466,-4.3560877,-2.6649735,-3.4704645,-2.6653004,-1.697386
-3.23046,-6.357287,-5.1946225,-2.77264,-3.8521903,-4.3542337,-2.663191,-3.4696832,-2.6649075,-1.6989892
-3.2295246,-6.352095,-5.1919003,-2.7722185,-3.8492343,-4.352379,-2.661409,-3.468902,-2.664515,-1.700589
