Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
-6.7896833,-6.8170433,-6.808051,-6.838007,-6.82133,-6.8067307,-6.797603,-6.8215547,-6.835781,-6.7713175
-6.5531864,-6.5792046,-6.571166,-6.599744,-6.5845003,-6.568971,-6.560229,-6.584185,-6.5980406,-6.534322
-6.3166904,-6.341366,-6.33428,-6.3614798,-6.3476715,-6.3312106,-6.3228545,-6.3468165,-6.360301,-6.297326
-6.0801935,-6.103527,-6.097393,-6.1232157,-6.1108418,-6.0934496,-6.0854793,-6.109447,-6.1225605,-6.0603304
-5.8436966,-5.8656883,-5.860508,-5.8849525,-5.874012,-5.8556895,-5.848105,-5.872078,-5.88482,-5.8233347
-5.6071997,-5.6278486,-5.623621,-5.6466885,-5.637182,-5.617929,-5.6107297,-5.6347084,-5.6470795,-5.586338
-5.3707027,-5.390011,-5.386736,-5.4084244,-5.4003534,-5.3801684,-5.3733554,-5.3973393,-5.409339,-5.3493423
-5.134206,-5.152171,-5.149849,-5.1701603,-5.1635237,-5.142408,-5.13598,-5.1599703,-5.1715984,-5.1123466
-4.89771,-4.9143324,-4.912963,-4.931897,-4.926694,-4.9046474,-4.898606,-4.922601,-4.933858,-4.875351
-4.661213,-4.6764946,-4.676078,-4.693633,-4.689865,-4.6668873,-4.6612315,-4.685232,-4.6961184,-4.6383553
-4.424716,-4.438655,-4.439191,-4.455369,-4.4530354,-4.4291263,-4.4238563,-4.4478626,-4.458378,-4.4013586
-4.188219,-4.200816,-4.202305,-4.217106,-4.2162056,-4.191366,-4.186482,-4.2104936,-4.2206373,-4.164363
-3.9517224,-3.9629776,-3.965419,-3.9788415,-3.979376,-3.9536052,-3.9491067,-3.973124,-3.9828966,-3.927367
-3.715226,-3.725139,-3.728533,-3.740578,-3.7425473,-3.715845,-3.7117324,-3.7357554,-3.7451565,-3.6903713
-3.4787295,-3.4873002,-3.4916475,-3.5023143,-3.505718,-3.478085,-3.4743576,-3.4983864,-3.5074165,-3.4533756
-3.2422323,-3.2494612,-3.2547612,-3.2640505,-3.2688882,-3.2403238,-3.2369826,-3.2610168,-3.2696753,-3.2163796
-3.0057359,-3.0116224,-3.0178752,-3.0257869,-3.032059,-3.0025637,-2.9996078,-3.0236478,-3.0319352,-2.979384
-2.769239,-2.7737837,-2.7809892,-2.7875228,-2.7952292,-2.7648032,-2.762233,-2.7862787,-2.7941947,-2.7423878
-2.5327423,-2.535945,-2.5441031,-2.549259,-2.5584,-2.5270426,-2.5248582,-2.5489094,-2.5564542,-2.5053918
-2.2962453,-2.298106,-2.3072171,-2.310995,-2.3215704,-2.289282,-2.2874835,-2.3115404,-2.318714,-2.2683961
-2.0597486,-2.0602672,-2.070331,-2.0727313,-2.0847409,-2.0515215,-2.0501087,-2.074171,-2.0809734,-2.0314002
-1.8232522,-1.8224287,-1.8334451,-1.8344676,-1.8479118,-1.8137612,-1.8127341,-1.836802,-1.8432331,-1.7944045
-1.5867555,-1.5845897,-1.596559,-1.5962038,-1.6110823,-1.5760007,-1.5753593,-1.599433,-1.6054928,-1.5574086
-1.3502587,-1.346751,-1.359673,-1.35794,-1.3742528,-1.3382401,-1.3379846,-1.3620635,-1.3677524,-1.3204126
-1.113762,-1.1089122,-1.122787,-1.119676,-1.1374233,-1.1004797,-1.1006099,-1.1246942,-1.1300119,-1.0834167
-0.87726533,-0.87107325,-0.88590074,-0.88141215,-0.90059376,-0.8627192,-0.8632351,-0.88732517,-0.89227164,-0.846421
-0.64076865,-0.63323474,-0.64901495,-0.6431483,-0.6637645,-0.6249589,-0.6258606,-0.6499561,-0.65453136,-0.60942507
-0.40427184,-0.39539587,-0.4121288,-0.40488446,-0.42693508,-0.38719833,-0.38848567,-0.4125868,-0.41679084,-0.37242925
-0.16777527,-0.15755719,-0.17524272,-0.16662073,-0.19010574,-0.1494379,-0.151111,-0.1752178,-0.1790505,-0.1354335
0.06872153,0.080281675,0.061643302,0.071643114,0.046723783,0.08832252,0.086263776,0.062151372,0.05869001,0.10156244
0.30521834,0.31812042,0.29852945,0.30990696,0.2835532,0.32608306,0.3236386,0.29952067,0.2964304,0.33855826
0.54171497,0.5559592,0.5354154,0.5481708,0.52038264,0.56384355,0.5610133,0.5368898,0.53417075,0.57555413
0.77821165,0.79379797,0.77230144,0.7864346,0.75721204,0.80160403,0.79838794,0.7742589,0.77191114,0.81255
1.0147084,1.0316367,1.0091875,1.0246985,0.9940415,1.0393645,1.0357628,1.0116282,1.0096515,1.0495459
1.2512051,1.2694755,1.2460735,1.2629622,1.230871,1.2771249,1.2731375,1.2489972,1.2473919,1.2865417
1.4877019,1.5073142,1.4829595,1.5012261,1.4677004,1.5148854,1.5105122,1.4863665,1.4851323,1.5235376
1.7241986,1.7451531,1.7198455,1.7394899,1.7045298,1.752646,1.7478869,1.7237356,1.7228727,1.7605335
1.9606953,1.9829918,1.9567316,1.9777536,1.9413592,1.9904064,1.9852617,1.9611048,1.960613,1.9975293
2.1971922,2.2208307,2.1936178,2.2160175,2.1781888,2.228167,2.2226365,2.198474,2.1983535,2.2345252
2.4336886,2.4586694,2.4305038,2.4542813,2.415018,2.4659274,2.460011,2.4358432,2.4360938,2.471521
2.6701853,2.6965082,2.6673899,2.6925452,2.6518474,2.703688,2.697386,2.6732123,2.6738343,2.7085168
2.9066823,2.934347,2.904276,2.930809,2.888677,2.9414485,2.9347608,2.9105816,2.9115746,2.9455128
3.143179,3.1721857,3.1411617,3.1690726,3.1255064,3.1792088,3.1721354,3.1479506,3.149315,3.1825085
3.3796756,3.4100244,3.378048,3.4073365,3.3623357,3.4169693,3.4095101,3.3853197,3.3870554,3.4195044
3.6161723,3.6478631,3.6149337,3.6456003,3.5991652,3.6547298,3.646885,3.6226888,3.624796,3.6565003
3.852669,3.8857021,3.8518198,3.8838642,3.8359947,3.8924901,3.8842597,3.860058,3.8625362,3.893496
4.0891657,4.123541,4.088706,4.122128,4.0728245,4.130251,4.1216345,4.0974274,4.100277,4.130492
4.3256626,4.3613796,4.325592,4.3603916,4.3096533,4.3680115,4.3590093,4.3347964,4.3380175,4.367488
4.5621595,4.5992184,4.562478,4.5986557,4.546483,4.605772,4.596384,4.5721655,4.5757575,4.6044836
4.7986555,4.837057,4.799364,4.83692,4.783312,4.843532,4.8337584,4.8095345,4.8134975,4.8414793
5.0351524,5.074896,5.03625,5.075183,5.0201416,5.0812926,5.071133,5.046904,5.051238,5.078475
5.2716494,5.3127346,5.273136,5.313447,5.2569714,5.319053,5.308508,5.284273,5.2889786,5.3154716
5.5081463,5.5505733,5.510022,5.551711,5.493801,5.5568132,5.5458827,5.521642,5.526719,5.5524673
5.7446423,5.788412,5.746908,5.789975,5.73063,5.794574,5.783257,5.7590113,5.7644587,5.789463
5.981139,6.026251,5.983794,6.0282393,5.9674597,6.0323343,6.0206323,5.996381,6.0022,6.0264587
6.217636,6.2640896,6.22068,6.2665024,6.2042885,6.270095,6.2580066,6.23375,6.2399397,6.2634544
6.454133,6.5019283,6.457567,6.5047665,6.4411182,6.5078554,6.495382,6.471119,6.47768,6.50045
6.690629,6.739767,6.6944523,6.7430305,6.677948,6.745616,6.732756,6.708488,6.7154207,6.737446
6.927126,6.977606,6.9313383,6.9812937,6.914777,6.983376,6.970131,6.945857,6.9531612,6.9744415
7.163623,7.2154446,7.1682243,7.219558,7.1516066,7.221137,7.2075057,7.1832266,7.1909018,7.211438
7.40012,7.4532833,7.4051104,7.457822,7.3884363,7.458897,7.4448805,7.4205956,7.4286423,7.448434
7.6366167,7.691122,7.6419973,7.696086,7.625266,7.6966577,7.6822553,7.657965,7.666383,7.6854296
7.8731127,7.928961,7.8788824,7.934349,7.862095,7.934418,7.91963,7.895334,7.9041224,7.9224253
8.10961,8.1668,8.115768,8.172613,8.098925,8.172178,8.157004,8.132703,8.141863,8.159421
8.346107,8.404638,8.352655,8.410877,8.335754,8.409939,8.39438,8.370072,8.379603,8.396418
8.582603,8.642477,8.5895405,8.64914,8.572583,8.647699,8.631754,8.607441,8.617344,8.633413
8.8191,8.880316,8.8264265,8.887404,8.809413,8.885461,8.869129,8.8448105,8.855084,8.87041
9.055597,9.118155,9.063313,9.125668,9.046242,9.12322,9.106504,9.08218,9.092825,9.107406
9.292094,9.355994,9.300199,9.363932,9.2830715,9.360982,9.34388,9.31955,9.330565,9.344401
9.52859,9.593832,9.537085,9.602196,9.519901,9.598742,9.581253,9.556919,9.568306,9.581397
9.765087,9.831671,9.773971,9.840459,9.75673,9.836502,9.818628,9.794287,9.806046,9.818393
-6.7342844,-6.7620287,-6.752555,-6.7828684,-6.765527,-6.751869,-6.7426567,-6.7661233,-6.780322,-6.7166348
-6.4977875,-6.52419,-6.51567,-6.5446053,-6.528697,-6.5141096,-6.5052824,-6.5287538,-6.5425816,-6.479639
-6.2612915,-6.286351,-6.278784,-6.306341,-6.291868,-6.276349,-6.267908,-6.291385,-6.304842,-6.2426443
-6.0247946,-6.0485125,-6.041897,-6.068077,-6.0550385,-6.038588,-6.030533,-6.0540156,-6.0671015,-6.0056477
-5.7882977,-5.8106737,-5.8050117,-5.829813,-5.8182096,-5.800828,-5.7931585,-5.8166466,-5.829361,-5.768652
-5.5518007,-5.572835,-5.568125,-5.591549,-5.58138,-5.5630674,-5.5557833,-5.579277,-5.5916204,-5.5316563
-5.315304,-5.334996,-5.3312397,-5.353286,-5.34455,-5.325307,-5.318409,-5.341908,-5.35388,-5.2946606
-5.078807,-5.0971575,-5.0943527,-5.1150217,-5.1077204,-5.0875463,-5.0810337,-5.104539,-5.1161394,-5.057664
-4.842311,-4.8593187,-4.8574667,-4.8767576,-4.8708916,-4.849786,-4.8436594,-4.86717,-4.878399,-4.820668
-4.605814,-4.62148,-4.6205816,-4.6384945,-4.634062,-4.6120257,-4.606285,-4.629801,-4.6406593,-4.5836725
-4.369317,-4.3836412,-4.3836946,-4.4002304,-4.397232,-4.3742647,-4.36891,-4.3924313,-4.402919,-4.346677
-4.13282,-4.1458025,-4.1468086,-4.1619663,-4.1604033,-4.1365047,-4.1315355,-4.155062,-4.1651783,-4.109681
-3.8963234,-3.9079635,-3.9099228,-3.9237025,-3.9235733,-3.8987436,-3.8941603,-3.9176927,-3.9274375,-3.8726847
-3.659827,-3.6701248,-3.6730368,-3.6854389,-3.6867445,-3.6609836,-3.656786,-3.680324,-3.6896975,-3.635689
-3.4233305,-3.432286,-3.4361513,-3.4471753,-3.4499152,-3.4232235,-3.4194112,-3.442955,-3.4519575,-3.3986933
-3.1868339,-3.1944473,-3.1992645,-3.2089112,-3.2130854,-3.1854627,-3.1820362,-3.2055852,-3.2142165,-3.1616976
-2.9503374,-2.9566085,-2.9623785,-2.9706476,-2.9762561,-2.9477026,-2.9446614,-2.9682162,-2.9764764,-2.924702
-2.7138405,-2.7187698,-2.7254925,-2.7323835,-2.7394264,-2.709942,-2.7072866,-2.7308471,-2.738736,-2.6877058
-2.4773438,-2.480931,-2.4886065,-2.4941196,-2.502597,-2.4721816,-2.4699118,-2.4934778,-2.5009954,-2.4507098
-2.2408469,-2.243092,-2.2517204,-2.2558558,-2.2657676,-2.234421,-2.232537,-2.2561088,-2.2632551,-2.2137141
-2.0043502,-2.0052533,-2.0148344,-2.017592,-2.028938,-1.9966605,-1.9951622,-2.0187395,-2.0255146,-1.9767182
-1.7678537,-1.7674148,-1.7779484,-1.7793283,-1.792109,-1.7589002,-1.7577877,-1.7813704,-1.7877743,-1.7397225
-1.531357,-1.5295758,-1.5410624,-1.5410645,-1.5552795,-1.5211396,-1.5204129,-1.5440013,-1.550034,-1.5027266
-1.2948601,-1.2917371,-1.3041763,-1.3028007,-1.3184501,-1.283379,-1.2830383,-1.306632,-1.3122935,-1.2657306
