Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
0.77584565,0.9428206,0.64838344,0.91440964,0.660808,0.72835183,0.6937531,0.6760047,0.6184631,0.5226705
0.67856216,0.44101197,0.55820996,0.64436924,0.7061624,0.6323158,0.61197567,0.6629495,0.86692816,0.890875
0.48020732,0.6277237,0.49979055,0.628421,0.45493382,0.55707926,0.54587257,0.5508101,0.5271346,0.5190339
0.34100264,0.51778114,0.4727683,0.56027406,0.41691017,0.50114244,0.52215534,0.5276163,0.5075749,0.5223992
1.0147672,0.40710455,0.71486795,0.9410951,1.2344624,0.94238675,0.9274215,1.0784746,1.5466309,1.4554597
0.99602634,0.4078469,0.70608515,0.92332613,1.2051681,0.9262545,0.90963215,1.0553528,1.5114104,1.4264889
0.40402585,0.50744855,0.49348927,0.596866,0.4548574,0.49147147,0.51840734,0.52336514,0.5068983,0.5268737
0.44018722,0.5171235,0.49432862,0.5971433,0.45921338,0.49257636,0.5191454,0.5247038,0.5150082,0.5363822
0.3948285,0.5480108,0.470456,0.5619035,0.42317355,0.51477003,0.5292004,0.5339752,0.5124903,0.5214378
0.81828964,0.4230101,0.622004,0.7604148,0.9250373,0.76522005,0.7405241,0.8315607,1.1516407,1.143907
0.71959615,0.43564212,0.57741284,0.6747862,0.769846,0.67346776,0.64862174,0.7079666,0.9484506,0.96791625
0.6359925,0.4556409,0.53754705,0.62094927,0.64301765,0.5863366,0.57515305,0.6184762,0.7841387,0.80788934
1.3725492,1.5646822,1.0339577,1.4657257,1.0309006,1.1413221,1.1105474,1.0007993,0.93938833,0.47814706
0.33095837,0.4923166,0.48708987,0.5877956,0.43080455,0.48773676,0.5174584,0.5242671,0.5060162,0.5241976
0.6201694,0.4619041,0.529693,0.6154332,0.6198038,0.5707147,0.56541914,0.60219073,0.7546132,0.77792656
0.46491072,0.61142194,0.49326634,0.6150168,0.44306785,0.54782015,0.5427277,0.5473714,0.5241528,0.5194734
1.2225813,0.3851161,0.8118222,1.1421754,1.5561057,1.118349,1.122499,1.3227777,1.9294584,1.7441689
0.3275202,0.4966975,0.4859016,0.5858418,0.42740327,0.48852324,0.5176518,0.5245604,0.5061067,0.52392304
0.34998602,0.5218048,0.4705097,0.5553652,0.41779613,0.50331235,0.5230166,0.5285005,0.50797105,0.5222353
0.34834802,0.521094,0.47091776,0.55588233,0.41762853,0.50295115,0.5228611,0.52832216,0.5078995,0.52226484
0.605793,0.467048,0.52257335,0.61014074,0.5990609,0.55662847,0.5571103,0.5893568,0.7296131,0.74985766
0.90419555,0.41159305,0.6626545,0.8367114,1.0607637,0.844893,0.8225509,0.9417562,1.3289653,1.2825862
0.9422986,0.40967968,0.68072444,0.8726705,1.1207839,0.8797846,0.858981,0.98846173,1.4050316,1.3425188
0.42179564,0.5154741,0.49469858,0.59707373,0.4571861,0.49254602,0.51874965,0.52371335,0.5099491,0.53051686
0.3275329,0.49700344,0.48577863,0.5857035,0.42716902,0.48858178,0.51767325,0.5245844,0.50611335,0.5239041
0.3277644,0.50033987,0.48414314,0.5839913,0.42456943,0.48916817,0.5180302,0.5248699,0.50615346,0.5236931
0.36468646,0.5284816,0.46828783,0.554162,0.4193979,0.50658756,0.52454734,0.5301128,0.508958,0.5219803
1.1016691,0.40190247,0.7554029,1.0247793,1.3696796,1.0163497,1.0088545,1.1845415,1.7083944,1.5791603
0.32830492,0.5040745,0.48196304,0.58157676,0.4219064,0.48990768,0.5187835,0.52536464,0.50630397,0.5234288
0.39449605,0.5004159,0.4926285,0.5965993,0.45346034,0.49048853,0.5183724,0.5234242,0.50615615,0.52606857
0.3769024,0.48295045,0.4915064,0.59600854,0.44862425,0.48830616,0.5182465,0.5235739,0.5054913,0.52499604
0.46537083,0.5144743,0.49034286,0.59824455,0.46519005,0.49209404,0.52004987,0.5284333,0.52722067,0.55125403
0.88832164,1.0596353,0.7173781,1.0245826,0.73547405,0.79885316,0.77166057,0.7395449,0.6756757,0.5222081
1.0357869,0.40627608,0.72466695,0.96108663,1.2671523,0.96013665,0.9471374,1.1042452,1.5858523,1.4860088
0.38364533,0.48901403,0.491925,0.5962642,0.4505905,0.48914796,0.51833,0.5235176,0.50544053,0.52509034
0.38161543,0.48678756,0.49183476,0.59620094,0.45003527,0.4888941,0.51831174,0.52353424,0.505414,0.52506244
0.5077529,0.50546974,0.49177885,0.5962654,0.48451847,0.49038196,0.5231731,0.540425,0.5669296,0.58531654
0.6914084,0.8546801,0.5989645,0.8277945,0.6067216,0.6754446,0.6408584,0.6303515,0.58649856,0.5217706
1.3135345,1.5030477,0.9924871,1.4124968,0.99478924,1.0989633,1.0700138,0.97068477,0.90822846,0.4856881
0.99767697,0.40778118,0.70686394,0.92488635,1.2077605,0.92768204,0.911214,1.0574077,1.5145937,1.4290525
0.42548856,0.57140464,0.47766733,0.5834286,0.42712545,0.5266396,0.53443325,0.53944993,0.5168339,0.5205958
0.34625155,0.48561573,0.48864228,0.5908735,0.43611276,0.48633993,0.517584,0.5239805,0.50592035,0.5246321
1.5414205,0.36278826,0.95305264,1.4562118,2.050233,1.3887568,1.4221207,1.6789576,2.4999337,2.1868503
0.3820473,0.4872177,0.49185365,0.5962149,0.45015103,0.48894715,0.51831746,0.5235307,0.50540906,0.5250683
0.4521457,0.5165154,0.4925474,0.59770346,0.4611429,0.4924786,0.51957214,0.52606684,0.51957434,0.5424495
0.41483617,0.563645,0.4743765,0.5754527,0.42516237,0.5223006,0.53235286,0.5374709,0.51497763,0.5209704
0.61374474,0.77239054,0.56030476,0.7478385,0.5556236,0.6301696,0.5947939,0.59297264,0.56226903,0.5189893
0.5022912,0.50674146,0.4912424,0.5965866,0.48091835,0.49073875,0.5222581,0.5385716,0.5587619,0.57905436
0.8179532,0.9865247,0.6740177,0.95777166,0.68860304,0.755005,0.7223204,0.6992865,0.63867307,0.52290833
1.5672758,1.7709348,1.1698399,1.6421134,1.1505905,1.2823285,1.245778,1.1061887,1.0435381,0.45537835
