"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-4.43240708079586,-4.60224859904877,-4.60890139159117,-4.54213996669494,-4.13158668818826,-4.67781810393108,-4.69856090968833,-4.54184269116162,-4.17805162234132,-4.1753966427677
-4.32908583249865,-4.45231560411507,-4.56920606450433,-4.5321332745157,-4.15119658782081,-4.68411331423246,-4.71413046122164,-4.70494017985489,-4.04501413047799,-4.1618888385426
-4.16548502257365,-4.77588427758656,-4.51712536057099,-4.7063891618496,-4.03204217087516,-4.75129168664341,-4.51503240130071,-4.57308043064076,-4.14761808257822,-4.26447479658563
-4.44736675414446,-4.66459228112755,-4.63816820312826,-4.46486235307488,-4.19968778921686,-4.62256363638712,-4.61308025245192,-4.77440597041963,-4.31186197074141,-4.2037273618401
-4.39868592276144,-4.46227813877451,-4.6605209711381,-4.6169843957716,-3.95200457065887,-4.7505450382639,-4.65177778789925,-4.69247703771988,-4.29101456558672,-4.00845374712767
-4.28998642733425,-4.47109082185751,-4.71523950735708,-4.5136296130988,-4.03843980547168,-4.67058474463428,-4.78743619673603,-4.65508771118303,-4.09672104709351,-4.11741652769224
-4.51351988954418,-4.63923061422695,-4.48130381229036,-4.566446110374,-4.05032168351473,-4.59403878801571,-4.55602770464897,-4.70819290247814,-4.20773140853,-4.1413744287493
-4.44437813099793,-4.70378528566689,-4.58847525751607,-4.64355051076077,-4.02817400210297,-4.75289620047095,-4.71274160531858,-4.65723116209765,-4.34232014909899,-3.93813464733491
-4.42663614365986,-4.81774425164387,-4.49889708872083,-4.60906897978243,-4.00487358661809,-4.75522053970669,-4.59458360852875,-4.58010284016612,-4.12205709816974,-4.1870147226524
-4.23158194173278,-4.57224484878428,-4.5865746146679,-4.4649649256025,-4.11934116850459,-4.64857632115577,-4.70227433511476,-4.62018904281487,-4.2663976242483,-4.11131353966802
-4.34493109983008,-4.56928006663022,-4.55616805197077,-4.73890160454665,-4.13687723865426,-4.7310164318951,-4.79235371271436,-4.73060119875303,-4.15513137215969,-4.17992974591648
-4.579580531314,-4.74076876741043,-4.46795281288266,-4.5173560417681,-4.10134077861952,-4.55463445341431,-4.73649651110056,-4.74723137207524,-4.1757365105865,-4.09528054077667
-4.20545671229337,-4.69192137280759,-4.64128842725232,-4.63352901795872,-3.99339137240176,-4.74991267937616,-4.73044832930957,-4.60941256256937,-4.18738288879856,-4.19034250041265
-4.46231861379208,-4.50384750571171,-4.5555189496322,-4.64084975834455,-4.00267677398677,-4.61254751167913,-4.82578574517117,-4.66810365488997,-4.16732612311683,-4.23140771732401
-4.44482469680441,-4.68914547007493,-4.60053490428159,-4.5292300499176,-4.07131377620079,-4.67703869451093,-4.75126425458129,-4.50707379740437,-4.03714400117151,-4.13444710028067
-4.43173808134641,-4.72557940980163,-4.45356564120835,-4.53301165792069,-4.21419243914404,-4.68701869374718,-4.74009279522366,-4.61492657783877,-4.12124511418716,-4.18887915356289
-4.35153391152828,-4.52791203231035,-4.55493704174982,-4.54602408479003,-3.91199745638198,-4.62031919024326,-4.54706615386938,-4.67469172026133,-4.10090134872394,-4.11468160215899
-4.39151512338736,-4.61645337118312,-4.45136728147482,-4.51345926552705,-4.1168478695836,-4.57960852928544,-4.61478866573508,-4.59015214593338,-4.22492178379732,-4.167485719899
-4.30983941856435,-4.75476074835751,-4.48937077622483,-4.51885615715431,-4.10296255825514,-4.71272457342148,-4.63546283134613,-4.56151841637608,-4.13143702123753,-4.03615033047319
-4.36381569550269,-4.71890832504377,-4.40064792039264,-4.53696077149888,-4.0684146620496,-4.66092959019125,-4.70784758137573,-4.53512989182483,-4.09905716266154,-4.11150930194331
-4.29182233671172,-4.6277256863951,-4.69663930374828,-4.62793507245053,-4.0929607948818,-4.58223546974423,-4.56326112317494,-4.62758411306855,-4.12321319429612,-4.2475532849914
-4.28134738113936,-4.61098528008975,-4.40555343981302,-4.47942293026627,-4.11010844082026,-4.6194541105503,-4.73348921178861,-4.70116104181328,-4.02177052133805,-4.15499099650999
-4.36209513046034,-4.53645927410412,-4.60978185073469,-4.69410803664275,-4.09267993018849,-4.83700015236944,-4.56411885814175,-4.65525643189288,-4.26504987878457,-4.1955212423007
-4.39784224143404,-4.54789766490918,-4.59744114001303,-4.5042585863062,-4.10075106037128,-4.5823472526912,-4.62842701237325,-4.72815929704246,-4.04371853011393,-4.08457517601948
-4.33176159065199,-4.7797752907643,-4.46129113389542,-4.60558600664481,-4.13931477284643,-4.67246578170004,-4.78198470123673,-4.74596108014911,-4.23930155676601,-4.12995946552142
-4.44398670775146,-4.72038366891984,-4.65069535960494,-4.65104129490378,-4.1056547746761,-4.67350530616898,-4.67499478183319,-4.56433520626006,-4.16354136752689,-4.11503647445436
-4.36100457054831,-4.77888310669456,-4.50173292490109,-4.56596053558005,-3.93168759168655,-4.6384606758695,-4.58195147675422,-4.59892377541812,-4.10329108701229,-4.17256732446241
