Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
2.9722097,2.7372458,,2.5674748,2.9322042,2.6004405,2.7518008,3.0064094,3.12273,2.394734
3.1201565,2.8682644,,2.6814425,3.0593338,2.704163,2.8477426,3.1231658,3.2311366,2.469206
3.1060145,2.8446324,,2.6761162,3.075875,2.6988485,2.8374617,3.118703,3.1839247,2.443983
3.0182717,2.771251,,2.5728629,2.959655,2.5889,2.7595487,3.0050356,3.0949214,2.3974483
3.120619,2.8468156,,2.6618583,3.0659091,2.620863,2.7871218,3.0676134,3.1255543,2.4443038
3.0064251,2.7346647,,2.5766842,2.9654484,2.6127744,2.752403,3.0237758,3.125254,2.3860428
2.998075,2.7456818,,2.5504498,2.9293637,2.5573013,2.7431512,2.9802883,3.0586507,2.3707745
3.0003533,2.771044,,2.620683,2.9943366,2.6146092,2.7589216,3.046585,3.130038,2.393182
3.1411428,2.8927338,,2.7018225,3.1030953,2.721819,2.867463,3.1390102,3.2088587,2.4789095
3.0989506,2.8542223,,2.684648,3.094496,2.728284,2.8429692,3.1316102,3.2083623,2.4595172
2.9378982,2.6976109,,2.5167615,2.8901649,2.5495853,2.7043555,2.9496598,3.0693457,2.366215
2.960745,2.6537144,,2.5481896,2.9000583,2.563421,2.7216203,2.9915574,3.0735629,2.3109753
3.027674,2.7564542,,2.508351,2.9081674,2.5570688,2.723504,2.9294271,3.0302174,2.390103
3.0935938,2.8123076,,2.5592482,2.9684706,2.6690245,2.7859912,2.994282,3.0907886,2.4343417
2.1743004,2.095059,,1.8219903,1.928208,1.9742012,2.115699,2.1441944,2.3503635,1.8200403
2.792188,2.5183256,,2.4113483,2.7762895,2.345714,2.5002005,2.770542,2.8196666,2.1911795
3.0390363,2.7842534,,2.552558,2.9338222,2.5853882,2.738809,2.9626057,3.047724,2.3872697
3.0602932,2.789985,,2.621848,3.0208287,2.6012983,2.7804525,3.051533,3.1075828,2.4012234
3.0585463,2.8030727,,2.6181448,3.0334392,2.625393,2.7587037,3.038111,3.083463,2.407281
3.0914233,2.7941272,,2.6178877,3.0621154,2.6699553,2.7600377,3.059026,3.098872,2.3875515
3.0030344,2.786433,,2.5921504,2.9595652,2.5864007,2.7626631,3.0115077,3.0929554,2.4039533
3.0392566,2.751898,,2.5808408,2.9848404,2.6601987,2.7638,3.0397599,3.1395838,2.3838158
3.0122168,2.7844536,,2.5734375,2.9438019,2.5927274,2.7661467,2.9994516,3.1088412,2.4203722
2.9832933,2.7245772,,2.5812907,2.955402,2.5669093,2.726492,2.9994571,3.054241,2.3465497
3.1137671,2.8774981,,2.7006466,3.0835543,2.673843,2.82746,3.1106746,3.1518204,2.4447172
3.165955,2.8857708,,2.6666324,3.071747,2.7163906,2.9059322,3.143053,3.2531366,2.5142634
2.9897068,2.757609,,2.559696,2.9484677,2.605638,2.7404182,2.9919631,3.0884428,2.3889802
3.1798038,2.925181,,2.7478714,3.1669064,2.763171,2.9097269,3.2025158,3.277304,2.5315092
3.0001287,2.8019474,,2.5533743,2.9266777,2.5684524,2.7443783,2.9633782,3.0682793,2.430626
3.2023132,2.9223084,,2.722241,3.113491,2.7631059,2.9466224,3.190613,3.2937133,2.536419
2.9496827,2.7223036,,2.5432494,2.9178743,2.5652232,2.701107,2.9658244,3.0743825,2.363312
3.0609598,2.7733395,,2.5593407,2.9588215,2.6362076,2.7999961,3.0232344,3.1389332,2.4251783
3.2603862,3.0042818,,2.8019311,3.2259333,2.8525143,2.9982955,3.2778203,3.36449,2.5964658
3.0955784,2.847437,,2.6641228,3.0574405,2.6632183,2.822721,3.0979202,3.1783106,2.4563565
3.0197423,2.7620606,,2.5666392,2.957048,2.56639,2.75715,2.99171,3.0689473,2.3987339
3.1115072,2.8207004,,2.6398787,3.0312352,2.640993,2.823702,3.0807974,3.1556144,2.4310727
3.2598946,2.9629946,,2.7726135,3.1978562,2.7153854,2.9122527,3.208421,3.261371,2.535447
3.035348,2.7468076,,2.567724,2.976963,2.61759,2.7708719,3.022433,3.1208417,2.407486
3.0207212,2.7787497,,2.5889318,2.958255,2.5993316,2.772502,3.0135279,3.1005375,2.4035308
3.066953,2.8205903,,2.6357908,3.0120287,2.6570506,2.8210323,3.077357,3.1796582,2.446817
3.0936525,2.7849107,,2.6086025,3.0271916,2.6457925,2.79139,3.0629363,3.115301,2.3860695
3.0368187,2.805608,,2.6149135,2.9968588,2.6289635,2.7884266,3.0427368,3.133661,2.4386485
3.1470275,2.8604689,,2.6923525,3.112598,2.7211561,2.8406477,3.1405542,3.2183611,2.455251
3.0287616,2.7773077,,2.6007228,2.9810863,2.6336775,2.7848003,3.0412621,3.125126,2.39912
2.974596,2.7430816,,2.5557473,2.924636,2.5560594,2.7201073,2.9748127,3.076729,2.3777912
2.987985,2.744961,,2.5158236,2.8776221,2.561049,2.7369905,2.9371893,3.041311,2.3854988
3.0899723,2.8404615,,2.6654503,3.041431,2.6717138,2.8388188,3.1027858,3.1888876,2.4524167
2.9563398,2.6794481,,2.5291264,2.8889735,2.60842,2.6979768,2.964018,3.0928795,2.319395
3.0510447,2.818404,,2.6243281,2.9825277,2.62949,2.8192995,3.0591617,3.1689122,2.453079
3.1440103,2.9238083,,2.7051668,3.1241593,2.7301817,2.8981247,3.16103,3.2453303,2.530948
3.07838,2.8413222,,2.6609128,3.058941,2.6765459,2.8117275,3.0887783,3.1566694,2.4339106
3.0731182,2.7977564,,2.6364691,3.0301886,2.621317,2.7715712,3.059593,3.1276143,2.3988554
3.0490706,2.8624532,,2.678774,3.0604465,2.6581035,2.7715065,3.0659935,3.0905316,2.408882
2.98347,2.741293,,2.5661573,2.9277024,2.58576,2.7519393,2.9933088,3.0795057,2.369354
3.0431468,2.8020103,,2.6051295,2.9836016,2.6130803,2.792833,3.0339167,3.1181734,2.4268756
3.092077,2.8659017,,2.6687012,3.0515718,2.6650827,2.8291886,3.094257,3.1720817,2.4689646
3.120979,2.8509295,,2.6617339,3.0820007,2.6862316,2.821578,3.1026638,3.175338,2.462334
3.111686,2.8494527,,2.657573,3.0527577,2.6608725,2.838926,3.1001887,3.189696,2.4732955
3.0723722,2.8068826,,2.628063,3.0201836,2.6798642,2.8111854,3.08061,3.1948464,2.444183
2.964559,2.7276986,,2.5318248,2.9175973,2.5080624,2.673437,2.9273832,2.9865692,2.3408048
2.9697545,2.7353194,,2.5502179,2.9346166,2.5541215,2.708956,2.9654722,3.0319586,2.354955
3.0871506,2.8303254,,2.667214,3.0825653,2.6848168,2.7954934,3.0980465,3.152656,2.4311893
2.880583,2.6207266,,2.4893768,2.853756,2.5114284,2.6505005,2.9096637,2.9606078,2.2544906
2.998915,2.7610505,,2.609516,2.9959154,2.5760155,2.7457733,3.0251844,3.0671494,2.3699737
3.1792383,2.8930352,,2.7022197,3.0974503,2.7385776,2.9038248,3.1613166,3.2606256,2.5039313
2.9118946,2.68835,,2.504748,2.8794055,2.4974816,2.6653907,2.9154088,2.979433,2.3055413
3.0676064,2.7708828,,2.5455573,2.9498158,2.609638,2.7771258,2.9909775,3.0935667,2.4088123
3.0228522,2.7631614,,2.5650446,2.9601054,2.6153378,2.7469602,3.0010235,3.1042316,2.3959544
2.9602573,2.7141323,,2.553129,2.942563,2.5515237,2.6831062,2.9666378,3.0400577,2.3410134
3.0689085,2.7987845,,2.6236255,3.012362,2.6735244,2.822925,3.0819037,3.19194,2.4450738
3.0839713,2.8378012,,2.6710513,3.0513673,2.6373224,2.8255582,3.1162505,3.1970065,2.4635627
2.98607,2.7714732,,2.5876255,2.9520893,2.6027894,2.7666392,3.0119836,3.0966446,2.3858764
3.0302362,2.772779,,2.6131995,2.9867792,2.619182,2.772204,3.0385253,3.111262,2.3834908
3.0141814,2.7872062,,2.57275,2.9339783,2.5562418,2.758867,2.987161,3.0697577,2.406192
3.2176483,2.9412165,,2.7515776,3.1538806,2.7552052,2.9414659,3.208616,3.2745297,2.526983
3.12025,2.8524747,,2.690994,3.1092687,2.7234387,2.8286014,3.1291893,3.174082,2.4381034
3.087586,2.8238475,,2.6511095,3.035625,2.6864107,2.8333402,3.1049545,3.2216394,2.4595072
2.9722893,2.6968935,,2.4675782,2.8518338,2.5730033,2.681283,2.8883452,2.9856482,2.3162634
2.8873794,2.6291094,,2.469849,2.8401482,2.5198042,2.6467087,2.8965247,2.9930475,2.285598
3.0637684,2.80054,,2.5676374,2.9678311,2.6032805,2.788582,3.0014794,3.1221712,2.4588835
3.1440787,2.8792925,,2.6868856,3.080386,2.7114677,2.8570347,3.120025,3.1927774,2.4591663
3.083809,2.8563712,,2.6567142,3.0274317,2.660812,2.8350914,3.0832162,3.1659703,2.4616494
2.9778347,2.6836064,,2.4802334,2.8617816,2.4924126,2.6575186,2.8837285,2.9754794,2.323992
3.1890664,2.9164326,,2.7201254,3.151926,2.75977,2.8884459,3.180648,3.275081,2.5316954
3.0785105,2.8003514,,2.618195,3.0134244,2.67552,2.8089721,3.0718265,3.1836126,2.4399502
3.012048,2.794972,,2.6029184,2.9728508,2.631812,2.7679744,3.0187767,3.1083884,2.4080172
3.1846611,2.8951752,,2.7077267,3.1293373,2.7427568,2.8925815,3.1683776,3.228719,2.4867907
2.999655,2.7868223,,2.600519,2.9687834,2.615161,2.7492318,3.0079997,3.0899534,2.3943245
3.0068243,2.733479,,2.5681229,2.9544003,2.576688,2.732932,2.996147,3.0723662,2.3642318
3.1511638,2.8775399,,2.6225355,3.0140712,2.658235,2.8555162,3.0633419,3.1616442,2.4827778
3.0407083,2.840301,,2.6300604,2.989005,2.655531,2.8259242,3.0523455,3.1451924,2.4528468
2.978924,2.7075064,,2.5461674,2.9377542,2.5742478,2.7082858,2.976775,3.034355,2.325525
3.1563869,2.8738964,,2.7173955,3.1211586,2.7072597,2.86178,3.1644485,3.245238,2.4893463
3.0430012,2.8231275,,2.6138258,3.0065625,2.664187,2.771161,3.0409248,3.1616025,2.4501264
3.1682208,2.8923244,,2.7077193,3.1190214,2.7331183,2.8878024,3.1624405,3.2447226,2.4978738
3.1566482,2.897134,,2.694603,3.1287434,2.7454042,2.8963816,3.1645484,3.246708,2.5097873
