ENSG00000075624,ENSG00000187514,ENSG00000133112,ENSG00000172757,ENSG00000067225,ENSG00000110700,ENSG00000125691,ENSG00000147604,ENSG00000108518
2.868269,,2.7311788,2.936391,2.7794375,,,2.421909,2.6849709
3.0154986,,2.7938054,3.1688154,2.9262283,,,2.5616033,2.8334541
2.9813142,,2.8408792,3.043687,2.9218225,,,2.53382,2.8009157
2.8781867,,2.717177,3.0252707,2.8662913,,,2.497197,2.7327955
3.0081844,,2.7844975,3.1305294,2.88113,,,2.5586565,2.7619264
2.8611047,,2.7411237,3.0008233,2.8357542,,,2.4613338,2.7336757
2.831958,,2.6842015,2.975403,2.8313284,,,2.4634566,2.6897414
2.872657,,2.7515316,3.033031,2.8389292,,,2.48335,2.7221231
3.0369241,,2.852998,3.1343825,3.0016346,,,2.6064904,2.8552644
2.9802015,,2.8757343,3.074373,2.9826877,,,2.5869524,2.851122
2.8425305,,2.679407,2.9430687,2.7620518,,,2.41872,2.667803
2.7439559,,2.661777,2.93245,2.7559876,,,2.3841693,2.6714067
2.9343402,,2.655868,2.980623,2.8370984,,,2.4850614,2.7299294
3.0168462,,2.7465384,2.9863136,2.9379385,,,2.5273843,2.8316314
2.079576,,1.8970213,2.248422,2.3245714,,,2.0597937,2.1441486
2.6679156,,2.5468922,2.6421359,2.4515624,,,2.2222297,2.419067
2.9647925,,2.6746194,3.0112178,2.8716595,,,2.500962,2.7392256
2.887934,,2.7510152,3.0081105,2.8414912,,,2.4820445,2.7184496
2.9568627,,2.7994554,2.9652293,2.8487742,,,2.5007498,2.7243037
2.9778392,,2.7999837,2.9226604,2.8495347,,,2.4667997,2.7621033
2.8865879,,2.7211266,2.988463,2.8259695,,,2.4797957,2.6970198
2.8986027,,2.7570798,2.9969902,2.8833702,,,2.4765403,2.7997215
2.912176,,2.7155886,3.0427978,2.871009,,,2.5172453,2.737938
2.8392608,,2.721626,2.8839645,2.7402008,,,2.3924491,2.626744
3.0249002,,2.8095293,3.1155436,2.9336607,,,2.5769022,2.7799308
2.9801178,,2.8379629,3.1009152,3.000337,,,2.5786798,2.853441
2.887488,,2.7318919,2.9390824,2.831845,,,2.4493065,2.7264516
3.0542512,,2.9399176,3.104302,2.9865637,,,2.603104,2.872392
2.9457312,,2.7001069,3.0594857,2.8922446,,,2.5574343,2.7430048
3.0314176,,2.8846736,3.22703,3.102371,,,2.6849415,2.9260266
2.8578691,,2.6816018,2.9639778,2.763497,,,2.4222598,2.6787474
2.892441,,2.7458317,2.9754195,2.898335,,,2.4781713,2.7717173
3.1447847,,3.0118215,3.1469843,3.0867674,,,2.668225,2.9609067
2.983416,,2.8065884,3.075675,2.8842483,,,2.5265775,2.775806
2.8548005,,2.7389152,2.984384,2.8524415,,,2.500503,2.69179
2.9507482,,2.7702606,2.997245,2.8286836,,,2.4630458,2.7304885
3.1046746,,2.8747652,3.2735655,2.986541,,,2.656558,2.891927
2.8710375,,2.7704313,3.01435,2.881431,,,2.5088012,2.7561414
2.9006312,,2.7306104,2.9662635,2.822268,,,2.4593863,2.701318
2.9408543,,2.7781436,3.0725348,2.9013817,,,2.527024,2.7788537
2.9089043,,2.757911,2.960402,2.863561,,,2.4588084,2.763178
2.9476297,,2.7914088,2.96113,2.825306,,,2.4773028,2.7171557
3.0116966,,2.841851,3.204768,3.013939,,,2.6124566,2.887062
2.8853662,,2.757741,2.9771163,2.863807,,,2.4746695,2.7420015
2.8724966,,2.6782508,3.0395248,2.8074791,,,2.475744,2.6961462
2.880936,,2.659275,3.0140116,2.8936636,,,2.5237525,2.7381248
2.9596605,,2.8025284,3.0647929,2.89541,,,2.5225499,2.7740786
2.857495,,2.6604393,3.0741432,2.8785887,,,2.4882054,2.7674134
2.932562,,2.7511723,3.0906842,2.8995836,,,2.5495737,2.755143
3.0181553,,2.9042583,3.0400975,2.9706435,,,2.5831206,2.835603
2.9692366,,2.8116863,3.1263921,2.9785626,,,2.5925636,2.8225658
2.9266236,,2.7503066,3.155192,2.9109643,,,2.551059,2.7933872
3.02721,,2.8069286,3.0241206,2.9139793,,,2.5554183,2.7392373
2.8367903,,2.7042747,2.9602458,2.8331192,,,2.4570935,2.6945264
2.914545,,2.7561212,3.0081728,2.8684988,,,2.5042036,2.7311094
3.0079381,,2.8192053,3.0244503,2.865629,,,2.5124526,2.7603247
3.0207236,,2.8477323,3.0448818,2.9040549,,,2.5298538,2.7977543
2.9852693,,2.8106353,3.070233,2.888805,,,2.528992,2.7755935
2.9713657,,2.7992783,3.0712154,2.9058688,,,2.518618,2.8063228
2.8526006,,2.6587517,2.995602,2.7950227,,,2.4688098,2.6634903
2.852495,,2.692619,2.9287584,2.7811775,,,2.4294622,2.667396
3.0098474,,2.8537238,2.9666975,2.8474438,,,2.4905155,2.7542493
2.7049084,,2.6312869,2.7770238,2.7100725,,,2.3283494,2.5780895
2.8464534,,2.7390964,2.9371896,2.7987134,,,2.4484873,2.664728
3.0277693,,2.8547795,3.2242072,3.060629,,,2.6562636,2.9041765
2.760762,,2.6239507,2.9077852,2.75886,,,2.4058685,2.6257687
2.9136689,,2.7117217,3.0347884,2.9142997,,,2.517815,2.787672
2.9309168,,2.7313855,2.9761841,2.8359797,,,2.4549408,2.741356
2.857085,,2.6936476,2.9543688,2.75156,,,2.4148421,2.6604311
2.9366171,,2.802371,3.0465,2.909446,,,2.5175738,2.7949898
2.9406793,,2.8018703,3.2562175,2.9769688,,,2.6395206,2.8290021
2.8408177,,2.7236876,3.0133607,2.8943012,,,2.5149262,2.7245643
2.8902788,,2.744294,3.0449104,2.8799918,,,2.5039375,2.7343066
2.8915832,,2.6853268,3.0355992,2.8492615,,,2.5159485,2.705369
3.0554645,,2.8952405,3.1566284,3.019791,,,2.6206007,2.8741376
3.0171483,,2.8705451,3.054035,2.9536488,,,2.56799,2.8205054
2.9774158,,2.80026,3.153088,2.9343278,,,2.559968,2.8209105
2.8818233,,2.6150365,2.844649,2.799678,,,2.3860722,2.7046392
2.739146,,2.623002,2.9204051,2.7840118,,,2.407262,2.656159
2.9608688,,2.7500172,3.030872,2.8841808,,,2.5249033,2.7628624
3.0361426,,2.8144999,3.1579978,3.0076947,,,2.6124098,2.85923
2.9808218,,2.7932832,3.0462353,2.901232,,,2.5371683,2.7743218
2.8746471,,2.6026416,2.9281037,2.7150385,,,2.3971462,2.6286767
3.1060102,,2.9233541,3.0600936,2.923462,,,2.5460787,2.860062
2.9719307,,2.7980275,3.046665,2.9021633,,,2.5086095,2.803425
2.9415882,,2.75427,3.0261452,2.8968966,,,2.52109,2.757365
3.0318093,,2.8829763,3.0807636,2.982874,,,2.5789192,2.8587124
2.9394217,,2.7407842,3.029734,2.8739705,,,2.5097206,2.7361746
2.8517973,,2.7128627,3.0023315,2.8311782,,,2.462779,2.7026708
3.020323,,2.7455368,3.137815,2.9840977,,,2.6124325,2.8417459
2.9280374,,2.7800846,3.0825574,2.98864,,,2.6173513,2.8009412
2.83284,,2.6978786,2.854888,2.7550623,,,2.375776,2.661613
3.0384195,,2.8706222,3.0709703,2.850846,,,2.5045712,2.7808702
3.0530174,,2.7900982,3.0256822,2.853312,,,2.4910944,2.7720003
3.0193577,,2.875293,3.176388,3.0273566,,,2.6264975,2.8797505
2.9948409,,2.9146514,3.0558612,3.0147913,,,2.6033452,2.8691425
3.1206038,,2.9099905,3.213538,3.0586345,,,2.6390245,2.9460251
2.9107492,,2.7248871,3.0632894,2.8968418,,,2.5300329,2.7649012
2.9512994,,2.782844,3.0133722,2.910467,,,2.5191286,2.776293
3.0236623,,2.8843396,3.183553,3.042516,,,2.6394494,2.883962
3.001516,,2.7658782,3.0767403,2.9855843,,,2.5979784,2.835326
2.9571383,,2.8479042,3.0786102,2.9621696,,,2.5666645,2.8076437
2.7591376,,2.5073907,2.999511,2.8125598,,,2.4742236,2.6611216
2.9800708,,2.839592,3.0084012,2.9250805,,,2.5367384,2.799074
3.057902,,2.9265547,3.0613973,2.998428,,,2.5816185,2.889869
3.0022867,,2.8971763,3.1200798,3.0225132,,,2.6121814,2.87303
2.8197734,,2.657451,2.986274,2.7253458,,,2.4210134,2.6285717
2.785451,,2.644621,2.8799472,2.7238913,,,2.3886197,2.6179206
2.750635,,2.56896,2.8237484,2.6658192,,,2.332957,2.5609136
3.066224,,2.8715026,3.1566021,2.9968352,,,2.6056063,2.8827183
2.8768137,,2.6992512,3.1220336,2.9197462,,,2.5467021,2.7625458
3.1197953,,2.965198,3.197293,3.0774205,,,2.658679,2.944353
3.0166404,,2.8474662,3.1016257,2.9209952,,,2.557883,2.8150713
2.9086533,,2.72715,3.0609622,2.8389602,,,2.508063,2.7054975
2.986097,,2.827899,3.043228,2.9023044,,,2.5458746,2.7700922
2.9565027,,2.7432244,3.0798576,2.8596244,,,2.5034432,2.7378402
2.9311097,,2.6675055,3.014755,2.8963761,,,2.5179656,2.7608006
2.923117,,2.6259289,2.9698584,2.802191,,,2.4390507,2.7415373
2.8681226,,2.66725,2.9429529,2.7569256,,,2.3990366,2.6673458
2.9097672,,2.7011433,2.9398272,2.753545,,,2.43358,2.6563256
3.0607312,,2.8328493,3.1632414,2.9798286,,,2.600783,2.8547857
2.7721221,,2.6631036,2.8931963,2.8024848,,,2.4113214,2.6732917
