ENSG00000075624,ENSG00000187514,ENSG00000133112,ENSG00000172757,ENSG00000067225,ENSG00000110700,ENSG00000125691,ENSG00000147604,ENSG00000108518
2.7683547,2.6882017,2.7579427,2.6573703,2.8115792,2.6988745,2.7298455,2.7600243,2.767087
3.0198371,2.8636494,2.9970138,2.9247522,2.9621398,2.8317537,2.9285653,2.9421182,2.9702303
2.7222342,2.6911938,2.750186,2.7001858,2.7380955,2.7556267,2.7690933,2.7360435,2.701767
2.7561316,2.746663,2.7459729,2.7293081,2.7763138,2.6895447,2.7386644,2.6955333,2.727248
2.8041685,2.9331632,2.7182775,2.8762302,2.6968715,2.8946733,2.8478076,2.8658328,2.8415098
2.6903644,2.6903868,2.7316995,2.6371605,2.8035748,2.6897354,2.7790394,2.7090611,2.6531699
2.8473258,2.7999659,2.776246,2.7705746,2.8210099,2.7403665,2.7560143,2.7482345,2.7725825
2.6919084,2.6183405,2.7688994,2.5479422,2.8453667,2.5986109,2.747299,2.629325,2.6522434
2.7199862,2.7543144,2.7814355,2.809104,2.7071052,2.7937036,2.8043942,2.7651982,2.7571623
2.6523683,2.509351,2.70846,2.5216026,2.7153132,2.571507,2.6014037,2.536849,2.5138104
2.6658435,2.737135,2.7185466,2.683862,2.7713716,2.6919742,2.7309065,2.7108965,2.7374275
2.7824621,2.8202045,2.9403968,2.7564616,2.9359117,2.8471332,2.914958,2.9329612,2.8230445
2.756742,2.8533792,2.7126436,2.9128299,2.758409,2.7751396,2.7168822,2.836492,2.888727
2.705648,2.7991982,2.7100854,2.9934487,2.7276695,2.8845148,2.7089725,2.810104,2.9256146
3.7217417,3.2711458,3.3255398,3.4722276,3.6034236,3.455482,3.7785316,3.182507,3.3283
2.654915,2.4776335,2.7965822,2.0684395,2.5753145,2.4911633,2.5581002,2.319487,2.3480427
2.984677,2.9515872,2.8765912,3.0828838,2.8588023,2.9720125,2.9423304,2.9975882,3.0329764
2.766933,2.7453341,2.7369728,2.6290298,2.7777433,2.6909466,2.7315257,2.6796517,2.6786215
2.6655345,2.6336336,2.645001,2.6298108,2.5955184,2.703904,2.6368628,2.6708121,2.5980315
2.7182817,2.5655842,2.6961322,2.598794,2.5939837,2.688657,2.6399763,2.6948414,2.5821772
2.8626618,2.7427816,2.7707434,2.7238636,2.7715337,2.6976137,2.7113714,2.718104,2.7533596
2.726576,2.6548538,2.8322732,2.710168,2.8190155,2.698,2.7829309,2.7424202,2.6609154
2.7365842,2.8212295,2.7434943,2.827508,2.7848887,2.7552462,2.7534695,2.7784636,2.8295946
2.7971654,2.7658153,2.7355185,2.6360319,2.7874956,2.761797,2.7775567,2.7673783,2.7259836
2.8000202,2.8786302,2.8289962,2.8804016,2.6331518,2.8967445,2.875664,2.863565,2.851409
2.906117,2.7927752,2.8412848,2.823885,2.8286211,2.7582946,2.732483,2.793799,2.8271995
2.709663,2.581159,2.7021036,2.6099045,2.7404273,2.596838,2.6261,2.6329782,2.6263747
2.690032,2.566732,2.663802,2.5132253,2.6740417,2.6058335,2.6272898,2.5603328,2.5425687
2.5957582,2.8233495,2.699144,2.8815932,2.6695619,2.709693,2.7295918,2.759428,2.7971504
2.7355325,2.9248142,2.8235607,2.9969172,2.861827,2.9421139,2.9254284,2.89545,2.92412
2.7609186,2.648811,2.7583694,2.6171205,2.818302,2.6120474,2.7161355,2.687087,2.6972356
