Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
2.7242713,2.7565744,2.7557955,2.7314465,2.69214,2.769123,2.7555733,2.6988163,2.7360513,2.721205
3.061016,2.9300153,2.9396534,2.839888,2.8737104,2.9717574,2.9160604,2.9536924,3.0124788,2.9362955
2.760602,2.7907486,2.7588148,2.801742,2.7759743,2.7496388,2.768077,2.7665093,2.7680447,2.7503593
2.7371864,2.741733,2.7081733,2.7786584,2.6807308,2.720857,2.7121766,2.7434876,2.6755881,2.7439618
2.745438,2.8271594,2.7778974,2.8187416,2.8382683,2.7616308,2.813737,2.830503,2.731929,2.8030987
2.7274537,2.7436178,2.7090657,2.7520845,2.6932604,2.739737,2.731855,2.7217999,2.7315912,2.7413912
2.8696806,2.828113,2.7863612,2.8200727,2.7360008,2.8215141,2.7577858,2.7986836,2.7882144,2.7875671
2.7741022,2.8433917,2.736595,2.774053,2.6823082,2.74339,2.712047,2.7141728,2.6936393,2.766674
2.7831147,2.782929,2.7692742,2.7979355,2.784158,2.7569957,2.772201,2.8031487,2.7658043,2.7574723
2.6716855,2.703813,2.6477988,2.69236,2.6594236,2.614328,2.6305606,2.666528,2.7115777,2.6892633
2.644991,2.6637084,2.6297855,2.6923447,2.6587536,2.7336476,2.701467,2.666225,2.7077456,2.7013528
3.1269927,2.8796625,2.9543176,2.8672612,2.8862126,2.9062073,2.9280438,2.910686,2.9012275,2.9584193
2.7076988,2.7713046,2.7446737,2.6714506,2.8393981,2.7917876,2.757464,2.7392826,2.8696601,2.7832828
2.6442904,2.7348847,2.6962972,2.6425805,2.8019843,2.7149496,2.835384,2.6902394,2.7664042,2.7368653
3.9509168,3.4778898,3.0841494,3.4891362,3.6557152,3.5400355,3.4018302,3.6012878,3.391952,3.5535026
2.4233499,2.531239,2.5463877,2.5770528,2.5052485,2.5907745,2.5838013,2.5134988,2.693117,2.509604
3.0496912,2.9105601,2.932897,2.8369074,3.0168355,2.9834125,2.9428706,2.9179106,3.0785239,2.9303074
2.765737,2.8084607,2.7614856,2.7920303,2.7041004,2.7511845,2.7402458,2.7739482,2.7127976,2.7859879
2.5623474,2.7380853,2.5888758,2.6718307,2.660212,2.6034274,2.6499815,2.6604419,2.6797762,2.6886983
2.6406386,2.6775804,2.5510416,2.6216094,2.6451201,2.5829043,2.6798224,2.690658,2.687308,2.7208614
2.8064446,2.8348873,2.7740736,2.776322,2.6951973,2.757894,2.7437758,2.7445526,2.7104456,2.750057
2.7637687,2.6928673,2.7848568,2.6897702,2.7153902,2.7751398,2.6967354,2.7842684,2.7554722,2.7429907
2.7180126,2.6882024,2.7273178,2.7372797,2.718834,2.756922,2.7213469,2.7269373,2.6872077,2.7454383
2.7560492,2.8250356,2.839757,2.8296223,2.7764149,2.8104298,2.7937067,2.7620997,2.776225,2.7996213
2.8590794,2.8935852,2.91293,2.8261266,2.8754618,2.8633623,2.8792994,2.91333,2.8584008,2.838646
2.9137216,2.7835426,2.7655993,2.7877758,2.78256,2.8431385,2.7669563,2.7818184,2.8025775,2.77002
2.6584678,2.6524143,2.5955591,2.6606448,2.6043763,2.623647,2.6159391,2.6551464,2.639045,2.6361198
2.653832,2.7538376,2.5740666,2.688745,2.6326494,2.6438298,2.644363,2.6697834,2.6764455,2.6706424
2.6138,2.6419244,2.656577,2.635697,2.6653986,2.6462646,2.6563025,2.651379,2.6919906,2.6669822
2.853928,2.7865257,2.8707798,2.894527,2.8668876,2.8304656,2.8696864,2.8705463,2.826598,2.8486457
2.7164166,2.8123617,2.690114,2.698319,2.6364293,2.723313,2.682561,2.677052,2.6472688,2.716946
2.7718177,2.6810713,2.7496467,2.7353103,2.7583017,2.8080032,2.7665448,2.760537,2.806723,2.7510598
2.6965265,2.710956,2.6131592,2.7147849,2.6959388,2.65488,2.6909704,2.6927524,2.7126474,2.6817183
2.746531,2.8264928,2.7689104,2.7781906,2.7441196,2.7826297,2.7645247,2.7390716,2.7300377,2.7756543
2.583278,2.6624064,2.681157,2.754529,2.680774,2.6722932,2.7237725,2.7025275,2.695119,2.692326
3.0796008,2.838631,2.928111,2.862287,2.915508,2.9773607,2.922474,2.8455997,2.963327,2.9059086
2.9679036,2.9251623,2.89846,2.872563,2.8991055,2.8961508,2.8869538,2.9378986,2.8278081,2.88768
2.5753143,2.5605865,2.6951165,2.7120507,2.6431177,2.6359346,2.6663885,2.671299,2.744327,2.6490052
2.8283901,2.8126755,2.8149586,2.8056011,2.7997653,2.8028607,2.7980237,2.782178,2.776958,2.7875934
2.8454993,2.7926629,2.837748,2.8140883,2.780151,2.8230333,2.804883,2.7870512,2.7590396,2.8042822
2.8614807,2.7058759,2.7532196,2.7695718,2.7272258,2.7644362,2.7550154,2.7879891,2.7198951,2.7822156
2.5934803,2.6914139,2.64994,2.6453478,2.6631155,2.7058997,2.6835823,2.658658,2.6833966,2.659731
2.7558026,2.7906017,2.7599182,2.736392,2.7705789,2.7354095,2.751512,2.8171887,2.757891,2.7734866
2.776566,2.7913017,2.7744656,2.8079886,2.7393398,2.7510252,2.7658017,2.7883031,2.7346065,2.750675
2.8104668,2.8208306,2.7729535,2.7839413,2.7473888,2.8141966,2.7638454,2.7411675,2.716417,2.8048892
2.7478824,2.734061,2.8443499,2.8123493,2.9003081,2.8129888,2.820604,2.8086958,2.81605,2.8142433
2.9174747,2.8558164,2.89474,2.859661,2.830813,2.8526216,2.8529193,2.8258371,2.8073897,2.8356848
2.8432589,2.596594,2.9475288,2.7059999,2.8888006,2.9715505,2.9024627,2.921555,2.8495913,2.8698487
2.9944742,2.8221056,2.9227743,2.8499515,2.8673627,2.9153771,2.8634543,2.8176284,2.8596306,2.8615887
2.6228218,2.6922066,2.5000715,2.5935066,2.5045757,2.5168698,2.5516953,2.6587849,2.5954232,2.56584
2.7227206,2.7634876,2.7073102,2.777925,2.7371054,2.7321463,2.6939025,2.7619443,2.7354043,2.7239099
2.8140335,2.873664,2.8095455,2.8431344,2.8223202,2.8121479,2.8390841,2.8676057,2.7724202,2.834928
2.7423334,2.810858,2.761433,2.7438693,2.7385936,2.7357638,2.7589726,2.750407,2.7789197,2.7381182
2.8496542,2.8115246,2.8555746,2.8549237,2.784511,2.8102236,2.8078632,2.8124762,2.7690501,2.8055377
2.6985602,2.7403173,2.755227,2.7825084,2.7487874,2.758408,2.7550592,2.749217,2.7384648,2.7481155
2.7161808,2.7961688,2.7392862,2.7175364,2.7234454,2.7540774,2.754141,2.6822634,2.725231,2.729975
2.5925004,2.703681,2.6030521,2.6721475,2.6987906,2.6512854,2.6733308,2.6639142,2.7090678,2.6951456
2.6889925,2.7787597,2.7702127,2.7630186,2.7728438,2.7864978,2.7782393,2.746368,2.7730975,2.78322
2.7328882,2.6461053,2.7465098,2.7252955,2.7672017,2.7749562,2.7674787,2.7354026,2.7661445,2.7504332
2.68473,2.7579513,2.7078996,2.7938483,2.7009945,2.6822715,2.7086747,2.7646208,2.7246735,2.7245178
2.6979513,2.7800097,2.6777768,2.7513223,2.6654146,2.6910756,2.6828454,2.703719,2.6754918,2.7041745
2.623709,2.7281342,2.6013277,2.664886,2.6639035,2.65282,2.6693368,2.6805992,2.6939294,2.6964989
2.7651453,2.74652,2.7389064,2.7644815,2.6872206,2.685172,2.703508,2.7488744,2.7036462,2.7389555
